PATIENT CELL GENE VALUE
MSK122 Cell_158 DNMT3A 0
MSK122 Cell_159 DNMT3A 0
MSK122 Cell_160 DNMT3A 1
MSK122 Cell_161 DNMT3A 0
MSK122 Cell_162 DNMT3A 1
MSK122 Cell_163 DNMT3A 0
MSK122 Cell_164 DNMT3A 1
MSK122 Cell_165 DNMT3A 1
MSK122 Cell_166 DNMT3A 1
MSK122 Cell_167 DNMT3A 0
MSK122 Cell_168 DNMT3A 0
MSK122 Cell_169 DNMT3A 1
MSK122 Cell_170 DNMT3A 1
MSK122 Cell_171 DNMT3A 1
MSK122 Cell_172 DNMT3A 1
MSK122 Cell_173 DNMT3A 0
MSK122 Cell_174 DNMT3A 1
MSK122 Cell_175 DNMT3A 1
MSK122 Cell_176 DNMT3A 1
MSK122 Cell_177 DNMT3A 0
MSK122 Cell_178 DNMT3A 0
MSK122 Cell_179 DNMT3A 1
MSK122 Cell_180 DNMT3A 1
MSK122 Cell_181 DNMT3A 1
MSK122 Cell_182 DNMT3A 1
MSK122 Cell_183 DNMT3A 1
MSK122 Cell_184 DNMT3A 1
MSK122 Cell_185 DNMT3A 1
MSK122 Cell_186 DNMT3A 0
MSK122 Cell_187 DNMT3A 0
MSK122 Cell_188 DNMT3A 1
MSK122 Cell_189 DNMT3A 0
MSK122 Cell_190 DNMT3A 1
MSK122 Cell_191 DNMT3A 1
MSK122 Cell_192 DNMT3A 1
MSK122 Cell_193 DNMT3A 1
MSK122 Cell_194 DNMT3A 0
MSK122 Cell_195 DNMT3A 1
MSK122 Cell_196 DNMT3A 1
MSK122 Cell_197 DNMT3A 1
MSK122 Cell_198 DNMT3A 0
MSK122 Cell_199 DNMT3A 1
MSK122 Cell_200 DNMT3A 1
MSK122 Cell_201 DNMT3A 1
MSK122 Cell_202 DNMT3A 1
MSK122 Cell_203 DNMT3A 0
MSK122 Cell_204 DNMT3A 1
MSK122 Cell_205 DNMT3A 0
MSK122 Cell_206 DNMT3A 1
MSK122 Cell_207 DNMT3A 1
MSK122 Cell_208 DNMT3A 1
MSK122 Cell_209 DNMT3A 0
MSK122 Cell_210 DNMT3A 0
MSK122 Cell_211 DNMT3A 0
MSK122 Cell_212 DNMT3A 1
MSK122 Cell_213 DNMT3A 0
MSK122 Cell_214 DNMT3A 1
MSK122 Cell_215 DNMT3A 0
MSK122 Cell_216 DNMT3A 1
MSK122 Cell_217 DNMT3A 0
MSK122 Cell_218 DNMT3A 1
MSK122 Cell_219 DNMT3A 1
MSK122 Cell_220 DNMT3A 0
MSK122 Cell_221 DNMT3A 1
MSK122 Cell_222 DNMT3A 1
MSK122 Cell_223 DNMT3A 1
MSK122 Cell_224 DNMT3A 0
MSK122 Cell_225 DNMT3A 0
MSK122 Cell_226 DNMT3A 0
MSK122 Cell_227 DNMT3A 1
MSK122 Cell_228 DNMT3A 1
MSK122 Cell_229 DNMT3A 1
MSK122 Cell_230 DNMT3A 1
MSK122 Cell_231 DNMT3A 1
MSK122 Cell_232 DNMT3A 1
MSK122 Cell_233 DNMT3A 0
MSK122 Cell_234 DNMT3A 0
MSK122 Cell_235 DNMT3A 0
MSK122 Cell_236 DNMT3A 0
MSK122 Cell_237 DNMT3A 1
MSK122 Cell_238 DNMT3A 1
MSK122 Cell_239 DNMT3A 0
MSK122 Cell_240 DNMT3A 1
MSK122 Cell_241 DNMT3A 1
MSK122 Cell_242 DNMT3A 1
MSK122 Cell_243 DNMT3A 1
MSK122 Cell_244 DNMT3A 1
MSK122 Cell_245 DNMT3A 0
MSK122 Cell_246 DNMT3A 1
MSK122 Cell_247 DNMT3A 1
MSK122 Cell_248 DNMT3A 1
MSK122 Cell_249 DNMT3A 1
MSK122 Cell_250 DNMT3A 1
MSK122 Cell_251 DNMT3A 1
MSK122 Cell_252 DNMT3A 0
MSK122 Cell_253 DNMT3A 0
MSK122 Cell_254 DNMT3A 0
MSK122 Cell_255 DNMT3A 1
MSK122 Cell_256 DNMT3A 1
MSK122 Cell_257 DNMT3A 1
MSK122 Cell_258 DNMT3A 1
MSK122 Cell_259 DNMT3A 0
MSK122 Cell_260 DNMT3A 1
MSK122 Cell_261 DNMT3A 1
MSK122 Cell_262 DNMT3A 1
MSK122 Cell_263 DNMT3A 1
MSK122 Cell_264 DNMT3A 1
MSK122 Cell_265 DNMT3A 1
MSK122 Cell_266 DNMT3A 0
MSK122 Cell_267 DNMT3A 1
MSK122 Cell_268 DNMT3A 0
MSK122 Cell_269 DNMT3A 1
MSK122 Cell_270 DNMT3A 1
MSK122 Cell_271 DNMT3A 0
MSK122 Cell_272 DNMT3A 0
MSK122 Cell_273 DNMT3A 1
MSK122 Cell_274 DNMT3A 1
MSK122 Cell_275 DNMT3A 1
MSK122 Cell_276 DNMT3A 0
MSK122 Cell_277 DNMT3A 0
MSK122 Cell_278 DNMT3A 1
MSK122 Cell_279 DNMT3A 1
MSK122 Cell_280 DNMT3A 1
MSK122 Cell_281 DNMT3A 1
MSK122 Cell_282 DNMT3A 0
MSK122 Cell_283 DNMT3A 1
MSK122 Cell_284 DNMT3A 0
MSK122 Cell_285 DNMT3A 1
MSK122 Cell_286 DNMT3A 1
MSK122 Cell_287 DNMT3A 1
MSK122 Cell_288 DNMT3A 1
MSK122 Cell_289 DNMT3A 1
MSK122 Cell_290 DNMT3A 1
MSK122 Cell_291 DNMT3A 0
MSK122 Cell_292 DNMT3A 1
MSK122 Cell_293 DNMT3A 1
MSK122 Cell_294 DNMT3A 1
MSK122 Cell_295 DNMT3A 1
MSK122 Cell_296 DNMT3A 1
MSK122 Cell_297 DNMT3A 0
MSK122 Cell_298 DNMT3A 1
MSK122 Cell_299 DNMT3A 0
MSK122 Cell_300 DNMT3A 0
MSK122 Cell_301 DNMT3A 0
MSK122 Cell_302 DNMT3A 1
MSK122 Cell_303 DNMT3A 1
MSK122 Cell_304 DNMT3A 0
MSK122 Cell_305 DNMT3A 0
MSK122 Cell_306 DNMT3A 0
MSK122 Cell_307 DNMT3A 0
MSK122 Cell_308 DNMT3A 1
MSK122 Cell_309 DNMT3A 1
MSK122 Cell_310 DNMT3A 0
MSK122 Cell_311 DNMT3A 1
MSK122 Cell_312 DNMT3A 1
MSK122 Cell_313 DNMT3A 1
MSK122 Cell_314 DNMT3A 0
MSK122 Cell_315 DNMT3A 0
MSK122 Cell_316 DNMT3A 1
MSK122 Cell_317 DNMT3A 1
MSK122 Cell_318 DNMT3A 1
MSK122 Cell_319 DNMT3A 0
MSK122 Cell_320 DNMT3A 1
MSK122 Cell_321 DNMT3A 0
MSK122 Cell_322 DNMT3A 0
MSK122 Cell_323 DNMT3A 0
MSK122 Cell_324 DNMT3A 1
MSK122 Cell_325 DNMT3A 0
MSK122 Cell_326 DNMT3A 1
MSK122 Cell_327 DNMT3A 1
MSK122 Cell_328 DNMT3A 0
MSK122 Cell_329 DNMT3A 1
MSK122 Cell_330 DNMT3A 1
MSK122 Cell_331 DNMT3A 0
MSK122 Cell_332 DNMT3A 1
MSK122 Cell_333 DNMT3A 1
MSK122 Cell_334 DNMT3A 1
MSK122 Cell_335 DNMT3A 1
MSK122 Cell_336 DNMT3A 1
MSK122 Cell_337 DNMT3A 0
MSK122 Cell_338 DNMT3A 1
MSK122 Cell_339 DNMT3A 1
MSK122 Cell_340 DNMT3A 0
MSK122 Cell_341 DNMT3A 1
MSK122 Cell_342 DNMT3A 0
MSK122 Cell_343 DNMT3A 0
MSK122 Cell_344 DNMT3A 1
MSK122 Cell_345 DNMT3A 1
MSK122 Cell_346 DNMT3A 1
MSK122 Cell_347 DNMT3A 1
MSK122 Cell_348 DNMT3A 1
MSK122 Cell_349 DNMT3A 1
MSK122 Cell_350 DNMT3A 1
MSK122 Cell_351 DNMT3A 1
MSK122 Cell_352 DNMT3A 1
MSK122 Cell_353 DNMT3A 1
MSK122 Cell_354 DNMT3A 1
MSK122 Cell_355 DNMT3A 1
MSK122 Cell_356 DNMT3A 0
MSK122 Cell_357 DNMT3A 1
MSK122 Cell_358 DNMT3A 0
MSK122 Cell_359 DNMT3A 1
MSK122 Cell_360 DNMT3A 0
MSK122 Cell_361 DNMT3A 1
MSK122 Cell_362 DNMT3A 1
MSK122 Cell_363 DNMT3A 1
MSK122 Cell_364 DNMT3A 1
MSK122 Cell_365 DNMT3A 1
MSK122 Cell_366 DNMT3A 1
MSK122 Cell_367 DNMT3A 1
MSK122 Cell_368 DNMT3A 0
MSK122 Cell_369 DNMT3A 1
MSK122 Cell_370 DNMT3A 1
MSK122 Cell_371 DNMT3A 1
MSK122 Cell_372 DNMT3A 1
MSK122 Cell_373 DNMT3A 1
MSK122 Cell_374 DNMT3A 0
MSK122 Cell_375 DNMT3A 0
MSK122 Cell_376 DNMT3A 1
MSK122 Cell_377 DNMT3A 1
MSK122 Cell_378 DNMT3A 0
MSK122 Cell_379 DNMT3A 1
MSK122 Cell_380 DNMT3A 0
MSK122 Cell_381 DNMT3A 1
MSK122 Cell_382 DNMT3A 0
MSK122 Cell_383 DNMT3A 1
MSK122 Cell_1 SF3B1 0
MSK122 Cell_2 SF3B1 1
MSK122 Cell_3 SF3B1 0
MSK122 Cell_4 SF3B1 1
MSK122 Cell_5 SF3B1 0
MSK122 Cell_6 SF3B1 0
MSK122 Cell_7 SF3B1 0
MSK122 Cell_8 SF3B1 1
MSK122 Cell_9 SF3B1 1
MSK122 Cell_10 SF3B1 0
MSK122 Cell_11 SF3B1 0
MSK122 Cell_12 SF3B1 1
MSK122 Cell_13 SF3B1 1
MSK122 Cell_14 SF3B1 0
MSK122 Cell_15 SF3B1 0
MSK122 Cell_16 SF3B1 0
MSK122 Cell_17 SF3B1 0
MSK122 Cell_18 SF3B1 0
MSK122 Cell_19 SF3B1 1
MSK122 Cell_20 SF3B1 0
MSK122 Cell_21 SF3B1 0
MSK122 Cell_22 SF3B1 0
MSK122 Cell_23 SF3B1 1
MSK122 Cell_24 SF3B1 1
MSK122 Cell_25 SF3B1 0
MSK122 Cell_26 SF3B1 1
MSK122 Cell_27 SF3B1 0
MSK122 Cell_28 SF3B1 0
MSK122 Cell_29 SF3B1 1
MSK122 Cell_30 SF3B1 1
MSK122 Cell_31 SF3B1 0
MSK122 Cell_32 SF3B1 1
MSK122 Cell_33 SF3B1 1
MSK122 Cell_34 SF3B1 0
MSK122 Cell_35 SF3B1 0
MSK122 Cell_36 SF3B1 1
MSK122 Cell_37 SF3B1 0
MSK122 Cell_38 SF3B1 0
MSK122 Cell_39 SF3B1 0
MSK122 Cell_40 SF3B1 1
MSK122 Cell_41 SF3B1 1
MSK122 Cell_42 SF3B1 1
MSK122 Cell_43 SF3B1 1
MSK122 Cell_44 SF3B1 0
MSK122 Cell_45 SF3B1 1
MSK122 Cell_46 SF3B1 0
MSK122 Cell_47 SF3B1 1
MSK122 Cell_48 SF3B1 1
MSK122 Cell_49 SF3B1 0
MSK122 Cell_50 SF3B1 0
MSK122 Cell_51 SF3B1 1
MSK122 Cell_52 SF3B1 0
MSK122 Cell_53 SF3B1 0
MSK122 Cell_54 SF3B1 0
MSK122 Cell_55 SF3B1 0
MSK122 Cell_56 SF3B1 0
MSK122 Cell_57 SF3B1 1
MSK122 Cell_58 SF3B1 0
MSK122 Cell_59 SF3B1 1
MSK122 Cell_60 SF3B1 1
MSK122 Cell_61 SF3B1 1
MSK122 Cell_62 SF3B1 0
MSK122 Cell_63 SF3B1 0
MSK122 Cell_64 SF3B1 1
MSK122 Cell_65 SF3B1 1
MSK122 Cell_66 SF3B1 0
MSK122 Cell_67 SF3B1 1
MSK122 Cell_68 SF3B1 0
MSK122 Cell_69 SF3B1 1
MSK122 Cell_70 SF3B1 0
MSK122 Cell_71 SF3B1 1
MSK122 Cell_72 SF3B1 0
MSK122 Cell_73 SF3B1 0
MSK122 Cell_74 SF3B1 1
MSK122 Cell_75 SF3B1 1
MSK122 Cell_76 SF3B1 0
MSK122 Cell_77 SF3B1 0
MSK122 Cell_78 SF3B1 0
MSK122 Cell_79 SF3B1 1
MSK122 Cell_80 SF3B1 0
MSK122 Cell_81 SF3B1 0
MSK122 Cell_82 SF3B1 0
MSK122 Cell_83 SF3B1 0
MSK122 Cell_84 SF3B1 0
MSK122 Cell_85 SF3B1 1
MSK122 Cell_86 SF3B1 0
MSK122 Cell_87 SF3B1 1
MSK122 Cell_88 SF3B1 1
MSK122 Cell_89 SF3B1 0
MSK122 Cell_90 SF3B1 1
MSK122 Cell_91 SF3B1 0
MSK122 Cell_92 SF3B1 1
MSK122 Cell_93 SF3B1 1
MSK122 Cell_94 SF3B1 1
MSK122 Cell_95 SF3B1 0
MSK122 Cell_96 SF3B1 0
MSK122 Cell_97 SF3B1 1
MSK122 Cell_98 SF3B1 1
MSK122 Cell_99 SF3B1 1
MSK122 Cell_100 SF3B1 0
MSK122 Cell_101 SF3B1 0
MSK122 Cell_102 SF3B1 1
MSK122 Cell_103 SF3B1 1
MSK122 Cell_104 SF3B1 0
MSK122 Cell_105 SF3B1 1
MSK122 Cell_106 SF3B1 1
MSK122 Cell_107 SF3B1 1
MSK122 Cell_108 SF3B1 0
MSK122 Cell_109 SF3B1 0
MSK122 Cell_110 SF3B1 1
MSK122 Cell_111 SF3B1 0
MSK122 Cell_112 SF3B1 0
MSK122 Cell_113 SF3B1 1
MSK122 Cell_114 SF3B1 0
MSK122 Cell_115 SF3B1 0
MSK122 Cell_116 SF3B1 1
MSK122 Cell_117 SF3B1 0
MSK122 Cell_118 SF3B1 0
MSK122 Cell_119 SF3B1 1
MSK122 Cell_120 SF3B1 1
MSK122 Cell_121 SF3B1 0
MSK122 Cell_122 SF3B1 0
MSK122 Cell_123 SF3B1 0
MSK122 Cell_124 SF3B1 0
MSK122 Cell_125 SF3B1 0
MSK122 Cell_126 SF3B1 1
MSK122 Cell_127 SF3B1 1
MSK122 Cell_128 SF3B1 1
MSK122 Cell_129 SF3B1 1
MSK122 Cell_130 SF3B1 1
MSK122 Cell_131 SF3B1 0
MSK122 Cell_132 SF3B1 1
MSK122 Cell_133 SF3B1 0
MSK122 Cell_134 SF3B1 0
MSK122 Cell_135 SF3B1 0
MSK122 Cell_136 SF3B1 1
MSK122 Cell_137 SF3B1 0
MSK122 Cell_138 SF3B1 1
MSK122 Cell_139 SF3B1 0
MSK122 Cell_140 SF3B1 0
MSK122 Cell_141 SF3B1 1
MSK122 Cell_142 SF3B1 0
MSK122 Cell_143 SF3B1 0
MSK122 Cell_144 SF3B1 1
MSK122 Cell_145 SF3B1 1
MSK122 Cell_146 SF3B1 0
MSK122 Cell_147 SF3B1 1
MSK122 Cell_148 SF3B1 0
MSK122 Cell_149 SF3B1 0
MSK122 Cell_150 SF3B1 0
MSK122 Cell_151 SF3B1 1
MSK122 Cell_152 SF3B1 0
MSK122 Cell_153 SF3B1 0
MSK122 Cell_154 SF3B1 0
MSK122 Cell_155 SF3B1 0
MSK122 Cell_156 SF3B1 0
MSK122 Cell_157 SF3B1 0
MSK122 Cell_158 SF3B1 0
MSK122 Cell_159 SF3B1 1
MSK122 Cell_160 SF3B1 1
MSK122 Cell_161 SF3B1 0
MSK122 Cell_162 SF3B1 0
MSK122 Cell_163 SF3B1 0
MSK122 Cell_164 SF3B1 1
MSK122 Cell_165 SF3B1 1
MSK122 Cell_166 SF3B1 1
MSK122 Cell_167 SF3B1 1
MSK122 Cell_168 SF3B1 0
MSK122 Cell_169 SF3B1 1
MSK122 Cell_170 SF3B1 0
MSK122 Cell_171 SF3B1 1
MSK122 Cell_172 SF3B1 1
MSK122 Cell_173 SF3B1 0
MSK122 Cell_174 SF3B1 1
MSK122 Cell_175 SF3B1 0
MSK122 Cell_176 SF3B1 0
MSK122 Cell_177 SF3B1 0
MSK122 Cell_178 SF3B1 1
MSK122 Cell_179 SF3B1 0
MSK122 Cell_180 SF3B1 1
MSK122 Cell_181 SF3B1 1
MSK122 Cell_182 SF3B1 0
MSK122 Cell_183 SF3B1 0
MSK122 Cell_184 SF3B1 0
MSK122 Cell_185 SF3B1 0
MSK122 Cell_186 SF3B1 0
MSK122 Cell_187 SF3B1 0
MSK122 Cell_188 SF3B1 0
MSK122 Cell_189 SF3B1 0
MSK122 Cell_190 SF3B1 0
MSK122 Cell_191 SF3B1 0
MSK122 Cell_192 SF3B1 1
MSK122 Cell_193 SF3B1 1
MSK122 Cell_194 SF3B1 0
MSK122 Cell_195 SF3B1 1
MSK122 Cell_196 SF3B1 0
MSK122 Cell_197 SF3B1 1
MSK122 Cell_198 SF3B1 0
MSK122 Cell_199 SF3B1 0
MSK122 Cell_200 SF3B1 1
MSK122 Cell_201 SF3B1 0
MSK122 Cell_202 SF3B1 0
MSK122 Cell_203 SF3B1 0
MSK122 Cell_204 SF3B1 1
MSK122 Cell_205 SF3B1 0
MSK122 Cell_206 SF3B1 1
MSK122 Cell_207 SF3B1 1
MSK122 Cell_208 SF3B1 1
MSK122 Cell_209 SF3B1 0
MSK122 Cell_210 SF3B1 0
MSK122 Cell_211 SF3B1 0
MSK122 Cell_212 SF3B1 0
MSK122 Cell_213 SF3B1 0
MSK122 Cell_214 SF3B1 0
MSK122 Cell_215 SF3B1 0
MSK122 Cell_216 SF3B1 0
MSK122 Cell_217 SF3B1 0
MSK122 Cell_218 SF3B1 1
MSK122 Cell_219 SF3B1 1
MSK122 Cell_220 SF3B1 1
MSK122 Cell_221 SF3B1 1
MSK122 Cell_222 SF3B1 0
MSK122 Cell_223 SF3B1 0
MSK122 Cell_224 SF3B1 0
MSK122 Cell_225 SF3B1 0
MSK122 Cell_226 SF3B1 0
MSK122 Cell_227 SF3B1 1
MSK122 Cell_228 SF3B1 1
MSK122 Cell_229 SF3B1 1
MSK122 Cell_230 SF3B1 1
MSK122 Cell_231 SF3B1 0
MSK122 Cell_232 SF3B1 0
MSK122 Cell_233 SF3B1 0
MSK122 Cell_234 SF3B1 0
MSK122 Cell_235 SF3B1 0
MSK122 Cell_236 SF3B1 0
MSK122 Cell_237 SF3B1 0
MSK122 Cell_238 SF3B1 0
MSK122 Cell_239 SF3B1 0
MSK122 Cell_240 SF3B1 0
MSK122 Cell_241 SF3B1 0
MSK122 Cell_242 SF3B1 1
MSK122 Cell_243 SF3B1 1
MSK122 Cell_244 SF3B1 1
MSK122 Cell_245 SF3B1 0
MSK122 Cell_246 SF3B1 0
MSK122 Cell_247 SF3B1 1
MSK122 Cell_248 SF3B1 0
MSK122 Cell_249 SF3B1 1
MSK122 Cell_250 SF3B1 0
MSK122 Cell_251 SF3B1 1
MSK122 Cell_252 SF3B1 0
MSK122 Cell_253 SF3B1 0
MSK122 Cell_254 SF3B1 0
MSK122 Cell_255 SF3B1 0
MSK122 Cell_256 SF3B1 0
MSK122 Cell_257 SF3B1 0
MSK122 Cell_258 SF3B1 1
MSK122 Cell_259 SF3B1 0
MSK122 Cell_260 SF3B1 0
MSK122 Cell_261 SF3B1 1
MSK122 Cell_262 SF3B1 0
MSK122 Cell_263 SF3B1 1
MSK122 Cell_264 SF3B1 1
MSK122 Cell_265 SF3B1 0
MSK122 Cell_266 SF3B1 0
MSK122 Cell_267 SF3B1 0
MSK122 Cell_268 SF3B1 0
MSK122 Cell_269 SF3B1 1
MSK122 Cell_270 SF3B1 1
MSK122 Cell_271 SF3B1 0
MSK122 Cell_272 SF3B1 0
MSK122 Cell_273 SF3B1 1
MSK122 Cell_274 SF3B1 0
MSK122 Cell_275 SF3B1 0
MSK122 Cell_276 SF3B1 0
MSK122 Cell_277 SF3B1 0
MSK122 Cell_278 SF3B1 1
MSK122 Cell_279 SF3B1 1
MSK122 Cell_280 SF3B1 1
MSK122 Cell_281 SF3B1 1
MSK122 Cell_282 SF3B1 0
MSK122 Cell_283 SF3B1 1
MSK122 Cell_284 SF3B1 0
MSK122 Cell_285 SF3B1 1
MSK122 Cell_286 SF3B1 1
MSK122 Cell_287 SF3B1 1
MSK122 Cell_288 SF3B1 1
MSK122 Cell_289 SF3B1 0
MSK122 Cell_290 SF3B1 1
MSK122 Cell_291 SF3B1 0
MSK122 Cell_292 SF3B1 0
MSK122 Cell_293 SF3B1 0
MSK122 Cell_294 SF3B1 0
MSK122 Cell_295 SF3B1 0
MSK122 Cell_296 SF3B1 1
MSK122 Cell_297 SF3B1 0
MSK122 Cell_298 SF3B1 1
MSK122 Cell_299 SF3B1 0
MSK122 Cell_300 SF3B1 0
MSK122 Cell_301 SF3B1 0
MSK122 Cell_302 SF3B1 0
MSK122 Cell_303 SF3B1 1
MSK122 Cell_304 SF3B1 0
MSK122 Cell_305 SF3B1 0
MSK122 Cell_306 SF3B1 0
MSK122 Cell_307 SF3B1 0
MSK122 Cell_308 SF3B1 1
MSK122 Cell_309 SF3B1 0
MSK122 Cell_310 SF3B1 0
MSK122 Cell_311 SF3B1 0
MSK122 Cell_312 SF3B1 1
MSK122 Cell_313 SF3B1 1
MSK122 Cell_314 SF3B1 0
MSK122 Cell_315 SF3B1 0
MSK122 Cell_316 SF3B1 1
MSK122 Cell_317 SF3B1 1
MSK122 Cell_318 SF3B1 1
MSK122 Cell_319 SF3B1 0
MSK122 Cell_320 SF3B1 0
MSK122 Cell_321 SF3B1 0
MSK122 Cell_322 SF3B1 0
MSK122 Cell_323 SF3B1 0
MSK122 Cell_324 SF3B1 0
MSK122 Cell_325 SF3B1 0
MSK122 Cell_326 SF3B1 1
MSK122 Cell_327 SF3B1 0
MSK122 Cell_328 SF3B1 0
MSK122 Cell_329 SF3B1 1
MSK122 Cell_330 SF3B1 1
MSK122 Cell_331 SF3B1 0
MSK122 Cell_332 SF3B1 0
