SAMPLE	GENE	CCF
aml_ohsu_2022_2110_BA2986	PTPN11	0.365168539325843
aml_ohsu_2022_2149_BA3023	PTPN11	0.772277227722772
aml_ohsu_2022_2100_BA2705	RAD21	1
aml_ohsu_2022_2131_BA2590	RAD21	1
aml_ohsu_2022_2149_BA3023	RAD21	0.736842105263158
aml_ohsu_2022_2157_BA2452	RAD21	0.993150684931507
aml_ohsu_2022_2094_BA2728	ROS1	0.903225806451613
aml_ohsu_2022_2102_BA2498	ROS1	0.99047619047619
aml_ohsu_2022_2110_BA2986	ROS1	0.416666666666667
aml_ohsu_2022_2003_BA2499	RUNX1	0.923076923076923
aml_ohsu_2022_2013_BA2195	RUNX1	0.193548387096774
aml_ohsu_2022_2016_BA2816	RUNX1	0.666666666666667
aml_ohsu_2022_2018_BA2950	RUNX1	0.935897435897436
aml_ohsu_2022_2026_BA2122	RUNX1	1
aml_ohsu_2022_2028_BA2144	RUNX1	0.916666666666667
aml_ohsu_2022_2042_BA2073	RUNX1	1
aml_ohsu_2022_2059_BA2847	RUNX1	0.813953488372093
aml_ohsu_2022_2086_BA2971	RUNX1	0.952380952380952
aml_ohsu_2022_2104_BA2657	RUNX1	0.848484848484849
aml_ohsu_2022_2106_BA2420	RUNX1	0.489795918367347
aml_ohsu_2022_2107_BA2839	RUNX1	1
aml_ohsu_2022_2116_BA2867	RUNX1	0.92
aml_ohsu_2022_2117_BA2999	RUNX1	0.829545454545455
aml_ohsu_2022_2147_BA2181	RUNX1	1
aml_ohsu_2022_2072_BA2642	SETD1B	1
aml_ohsu_2022_2012_BA2616	SF3B1	0.593406593406593
aml_ohsu_2022_2018_BA2950	SF3B1	0.868292682926829
aml_ohsu_2022_2032_BA2348	SF3B1	0.989473684210526
aml_ohsu_2022_2059_BA2847	SF3B1	0.707964601769911
aml_ohsu_2022_2070_BA2592	SF3B1	0.574074074074074
aml_ohsu_2022_2071_BA2007	SF3B1	0.718181818181818
aml_ohsu_2022_2094_BA2728	SF3B1	0.876190476190476
aml_ohsu_2022_2014_BA2226	SMC1A	0.8715953307393
aml_ohsu_2022_2017_BA2156	SMC1A	0.875
aml_ohsu_2022_2000_BA2123	SMC3	0.795454545454545
aml_ohsu_2022_2003_BA2499	SMC3	0.775
aml_ohsu_2022_2122_BA2024	SMG1	0.177777777777778
aml_ohsu_2022_2013_BA2195	SRSF2	0.949152542372881
aml_ohsu_2022_2020_BA2006	SRSF2	0.958904109589041
aml_ohsu_2022_2024_BA2606	SRSF2	0.835820895522388
aml_ohsu_2022_2027_BA2936	SRSF2	0.434782608695652
aml_ohsu_2022_2057_BA2659	SRSF2	1
aml_ohsu_2022_2080_BA2089	SRSF2	1
aml_ohsu_2022_2086_BA2971	SRSF2	0.895522388059702
aml_ohsu_2022_2087_BA2858	SRSF2	1
aml_ohsu_2022_2116_BA2867	SRSF2	0.761904761904762
aml_ohsu_2022_2117_BA2999	SRSF2	1
aml_ohsu_2022_2131_BA2590	SRSF2	0.5
aml_ohsu_2022_2142_BA2991	SRSF2	1
aml_ohsu_2022_2151_BA2423	SRSF2	1
aml_ohsu_2022_2003_BA2499	STAG2	0.88235294117647
aml_ohsu_2022_2009_BA3322	STAG2	0.228571428571429
aml_ohsu_2022_2019_BA2905	STAG2	0.88235294117647
aml_ohsu_2022_2024_BA2606	STAG2	0.612903225806452
aml_ohsu_2022_2035_BA2212	STAG2	0.958333333333333
aml_ohsu_2022_2080_BA2089	STAG2	0.704545454545455
aml_ohsu_2022_2083_BA2778	STAG2	0.444444444444444
aml_ohsu_2022_2135_BA2080	STAG2	0.916666666666667
aml_ohsu_2022_2035_BA2212	SUZ12	0.727272727272727
aml_ohsu_2022_2030_BA2708	TET2	0.876494023904382
aml_ohsu_2022_2035_BA2212	TET2	0.832432432432432
aml_ohsu_2022_2036_BA2731	TET2	0.842424242424242
aml_ohsu_2022_2044_BA2280	TET2	1
aml_ohsu_2022_2053_BA2803	TET2	0.959349593495935
aml_ohsu_2022_2083_BA2778	TET2	0.938461538461538
aml_ohsu_2022_2095_BA2614	TET2	0.844444444444444
aml_ohsu_2022_2116_BA2867	TET2	1
aml_ohsu_2022_2126_BA2082	TET2	0.649446494464945
aml_ohsu_2022_2135_BA2080	TET2	0.972477064220184
aml_ohsu_2022_2139_BA2885	TET2	0.973607038123167
aml_ohsu_2022_2144_BA2902	TET2	1
aml_ohsu_2022_2148_BA2595	TET2	1
aml_ohsu_2022_2013_BA2195	TP53	1
aml_ohsu_2022_2020_BA2006	TP53	1
aml_ohsu_2022_2037_BA2300	TP53	1
aml_ohsu_2022_2082_BA2161	TP53	0.56
aml_ohsu_2022_2088_BA2113	TP53	1
aml_ohsu_2022_2124_BA2491	TP53	1
aml_ohsu_2022_2129_BA2163	TP53	1
aml_ohsu_2022_2143_BA2406	TP53	1
aml_ohsu_2022_2158_BA2083	TP53	0.878048780487805
aml_ohsu_2022_2047_BA2634	U2AF1	0.711111111111111
aml_ohsu_2022_2049_BA2623	U2AF1	0.941860465116279
aml_ohsu_2022_2088_BA2113	U2AF1	1
aml_ohsu_2022_2106_BA2420	U2AF1	0.666666666666667
aml_ohsu_2022_2107_BA2839	U2AF1	0.575539568345324
aml_ohsu_2022_2140_BA2132	U2AF1	0.584269662921348
aml_ohsu_2022_2000_BA2123	WT1	0.743718592964824
aml_ohsu_2022_2023_BA2834	WT1	0.217687074829932
aml_ohsu_2022_2025_BA2461	WT1	0.193548387096774
aml_ohsu_2022_2032_BA2348	WT1	0.495049504950495
aml_ohsu_2022_2061_BA2762	WT1	0.556818181818182
aml_ohsu_2022_2074_BA2256	WT1	0.523809523809524
aml_ohsu_2022_2100_BA2705	WT1	0.210526315789474
aml_ohsu_2022_2105_BA2248	WT1	1
aml_ohsu_2022_2109_BA2894	WT1	0.670212765957447
aml_ohsu_2022_2145_BA2821	WT1	0.98780487804878
aml_ohsu_2022_2149_BA3023	WT1	0.845771144278607
aml_ohsu_2022_2003_BA2499	ZRSR2	0.941176470588235
aml_ohsu_2022_2087_BA2858	ZRSR2	0.833333333333333
aml_ohsu_2022_2126_BA2082	ZRSR2	0.730769230769231
aml_ohsu_2022_2144_BA2902	ZRSR2	0.863636363636364
