SAMPLE	REGION	GENE	CCF
CRUK0018	R2	MGA	0.88
CRUK0018	R2	MGA	0.99
CRUK0018	R2	WAS	0.02
CRUK0018	R3	CMTR2	1
CRUK0018	R3	COL5A2	1
CRUK0018	R3	DNMT3A	0.02
CRUK0018	R3	KRAS	0.92
CRUK0018	R3	MGA	0.86
CRUK0018	R3	MGA	1
CRUK0018	R3	WAS	0.02
CRUK0018	R4	CMTR2	0.98
CRUK0018	R4	COL5A2	0.93
CRUK0018	R4	DNMT3A	0.02
CRUK0018	R4	KRAS	0.85
CRUK0018	R4	MGA	1
CRUK0018	R4	MGA	1
CRUK0018	R4	WAS	0.02
CRUK0019	R1	EGFR	1
CRUK0019	R1	POT1	0.02
CRUK0019	R2	EGFR	0.97
CRUK0019	R2	POT1	0.37
CRUK0020	R1	ANK2	0.88
CRUK0020	R1	ANK2	0.9
CRUK0020	R1	ANK2	0.99
CRUK0020	R1	ANK2	1
CRUK0020	R1	ANK2	1
CRUK0020	R1	ANK2	1
CRUK0020	R1	ARID2	0.84
CRUK0020	R1	ASXL2	0.53
CRUK0020	R1	BAP1	0.81
CRUK0020	R1	BAP1	0.98
CRUK0020	R1	CDC73	0.75
CRUK0020	R1	COL2A1	0.99
CRUK0020	R1	COL2A1	1
CRUK0020	R1	KEAP1	1
CRUK0020	R1	MGA	0.02
CRUK0020	R1	MGA	0.83
CRUK0020	R1	MGA	0.93
CRUK0020	R1	NCOR1	0.02
CRUK0020	R1	PIK3CA	0.75
CRUK0020	R1	PIK3CA	0.77
CRUK0020	R1	PRF1	0.59
CRUK0020	R1	TP53	0.85
CRUK0020	R2	ANK2	0.02
CRUK0020	R2	ANK2	0.94
CRUK0020	R2	ANK2	0.94
CRUK0020	R2	ANK2	1
CRUK0020	R2	ANK2	1
CRUK0020	R2	ANK2	1
CRUK0020	R2	ARID2	0.84
CRUK0020	R2	ASXL2	0.02
CRUK0020	R2	BAP1	0.02
CRUK0020	R2	BAP1	0.02
CRUK0020	R2	CDC73	0.02
CRUK0020	R2	COL2A1	0.64
CRUK0020	R2	COL2A1	0.89
CRUK0020	R2	KEAP1	1
CRUK0020	R2	MGA	0.52
CRUK0020	R2	MGA	0.57
CRUK0020	R2	MGA	0.72
CRUK0020	R2	NCOR1	0.39
CRUK0020	R2	PIK3CA	0.02
CRUK0020	R2	PIK3CA	0.02
CRUK0020	R2	PRF1	0.02
CRUK0020	R2	TP53	0.83
CRUK0022	R1	CIC	0.63
CRUK0022	R1	EGFR	0.91
CRUK0022	R1	TP53	0.94
CRUK0022	R2	CIC	0.02
CRUK0022	R2	EGFR	1
CRUK0022	R2	TP53	0.99
CRUK0023	R1	EXT1	0.81
CRUK0023	R1	KMT2D	0.02
CRUK0023	R1	KRAS	0.77
CRUK0023	R1	PTPRC	0.02
CRUK0023	R1	TP53	0.63
CRUK0023	R1	WRN	0.98
CRUK0023	R2	EXT1	1
CRUK0023	R2	KMT2D	0.77
CRUK0023	R2	KRAS	0.88
CRUK0023	R2	PTPRC	1
CRUK0023	R2	TP53	0.02
CRUK0023	R2	WRN	0.94
CRUK0023	R3	EXT1	0.96
CRUK0023	R3	KMT2D	0.02
CRUK0023	R3	KRAS	0.89
CRUK0023	R3	PTPRC	0.02
CRUK0023	R3	TP53	0.02
CRUK0023	R3	WRN	0.98
CRUK0023	R4	EXT1	0.71
CRUK0023	R4	KMT2D	0.02
CRUK0023	R4	KRAS	0.95
CRUK0023	R4	PTPRC	0.02
CRUK0023	R4	TP53	0.02
CRUK0023	R4	WRN	0.71
CRUK0024	R1	ATM	0.87
CRUK0024	R1	ATM	1
CRUK0024	R1	NCOR1	0.48
CRUK0024	R1	POLE	0.97
CRUK0024	R1	STK11	0.83
CRUK0024	R1	TP53	1
CRUK0024	R2	ATM	0.02
CRUK0024	R2	ATM	0.02
CRUK0024	R2	NCOR1	0.02
CRUK0024	R2	POLE	0.02
CRUK0024	R2	STK11	0.02
CRUK0024	R2	TP53	0.02
CRUK0024	R3	ATM	0.74
CRUK0024	R3	ATM	1
CRUK0024	R3	NCOR1	0.02
CRUK0024	R3	POLE	1
CRUK0024	R3	STK11	1
CRUK0024	R3	TP53	1
CRUK0024	R4	ATM	1
CRUK0024	R4	ATM	1
CRUK0024	R4	NCOR1	0.02
CRUK0024	R4	POLE	1
CRUK0024	R4	STK11	1
CRUK0024	R4	TP53	1
CRUK0024	R6	ATM	0.02
CRUK0024	R6	ATM	1
CRUK0024	R6	NCOR1	0.02
CRUK0024	R6	POLE	0.92
CRUK0024	R6	STK11	0.91
CRUK0024	R6	TP53	0.97
CRUK0028	R1	APC	0.94
CRUK0028	R1	NCOA6	0.02
CRUK0028	R1	PIK3CA	0.32
CRUK0028	R1	TP53	1
CRUK0028	R2	APC	1
CRUK0028	R2	NCOA6	0.26
CRUK0028	R2	PIK3CA	0.02
CRUK0028	R2	TP53	0.09
CRUK0032	R1	ARID1B	0.02
CRUK0032	R1	ATM	0.83
CRUK0032	R1	DNAH12	1
CRUK0032	R1	KDM5C	0.02
CRUK0032	R1	KRAS	0.94
CRUK0032	R1	NBN	1
CRUK0032	R1	RAD21	1
CRUK0032	R1	RNF43	0.82
CRUK0032	R1	U2AF1	0.97
CRUK0032	R2	ARID1B	0.02
CRUK0032	R2	ATM	0.96
CRUK0032	R2	DNAH12	1
CRUK0032	R2	KDM5C	0.02
CRUK0032	R2	KRAS	0.98
CRUK0032	R2	NBN	1
CRUK0032	R2	RAD21	0.92
CRUK0032	R2	RNF43	0.86
CRUK0032	R2	U2AF1	0.95
CRUK0032	R3	ARID1B	0.02
CRUK0032	R3	ATM	1
CRUK0032	R3	DNAH12	1
CRUK0032	R3	KDM5C	0.02
CRUK0032	R3	KRAS	0.97
CRUK0032	R3	NBN	0.86
CRUK0032	R3	RAD21	1
CRUK0032	R3	RNF43	0.89
CRUK0032	R3	U2AF1	1
CRUK0032	R4	ARID1B	0.27
CRUK0032	R4	ATM	0.98
CRUK0032	R4	DNAH12	1
CRUK0032	R4	KDM5C	0.02
CRUK0032	R4	KRAS	0.95
CRUK0032	R4	NBN	1
CRUK0032	R4	RAD21	0.97
CRUK0032	R4	RNF43	0.95
CRUK0032	R4	U2AF1	0.8
CRUK0034	R1	ATM	1
CRUK0034	R1	ATM	1
CRUK0034	R1	KRAS	1
CRUK0034	R1	MBD1	0.97
CRUK0034	R1	MGA	0.02
CRUK0034	R1	PLXNB2	0.78
CRUK0034	R1	PTCH1	1
CRUK0034	R2	ATM	0.9
CRUK0034	R2	ATM	1
CRUK0034	R2	KRAS	0.93
CRUK0034	R2	MBD1	1
CRUK0034	R2	MGA	0.39
CRUK0034	R2	PLXNB2	0.93
CRUK0034	R2	PTCH1	1
CRUK0034	R3	ATM	0.96
CRUK0034	R3	ATM	1
CRUK0034	R3	KRAS	1
CRUK0034	R3	MBD1	0.99
CRUK0034	R3	MGA	0.02
CRUK0034	R3	PLXNB2	0.84
CRUK0034	R3	PTCH1	1
CRUK0038	R1	KMT2D	0.02
CRUK0038	R1	KRAS	0.7
CRUK0038	R2	KMT2D	0.23
CRUK0038	R2	KRAS	1
CRUK0041	R1	BRAF	0.96
CRUK0041	R1	EZH1	0.02
CRUK0041	R2	BRAF	0.99
CRUK0041	R2	EZH1	0.02
CRUK0041	R3	BRAF	1
CRUK0041	R3	EZH1	0.02
CRUK0041	R4	BRAF	1
CRUK0041	R4	EZH1	0.72
CRUK0046	R1	KEAP1	0.82
CRUK0046	R1	STK11	0.85
CRUK0046	R2	KEAP1	0.96
CRUK0046	R2	STK11	0.59
CRUK0046	R3	KEAP1	1
CRUK0046	R3	STK11	0.99
CRUK0046	R4	KEAP1	1
CRUK0046	R4	STK11	0.71
CRUK0048	R1	APC	1
CRUK0048	R1	ARHGAP35	1
CRUK0048	R1	BRAF	1
CRUK0048	R1	KRAS	0.45
CRUK0048	R1	TP53	0.94
CRUK0048	R1	TP53	1
CRUK0048	R1	TP53BP1	0.24
CRUK0048	R2	APC	1
CRUK0048	R2	ARHGAP35	0.97
CRUK0048	R2	BRAF	0.87
CRUK0048	R2	KRAS	0.16
CRUK0048	R2	TP53	0.9
CRUK0048	R2	TP53	1
CRUK0048	R2	TP53BP1	0.47
CRUK0048	R3	APC	0.97
CRUK0048	R3	ARHGAP35	0.96
CRUK0048	R3	BRAF	1
CRUK0048	R3	KRAS	0.02
CRUK0048	R3	TP53	0.87
CRUK0048	R3	TP53	1
CRUK0048	R3	TP53BP1	0.74
CRUK0051	R2	EP300	0.47
CRUK0051	R2	FBXW7	1
CRUK0051	R2	KRAS	0.98
CRUK0051	R2	TP53	1
CRUK0051	R3	EP300	0.02
CRUK0051	R3	FBXW7	0.91
CRUK0051	R3	KRAS	1
CRUK0051	R3	TP53	1
CRUK0051	R4	EP300	0.02
CRUK0051	R4	FBXW7	0.94
CRUK0051	R4	KRAS	0.97
CRUK0051	R4	TP53	1
CRUK0052	R1	ARID1A	0.86
CRUK0052	R1	ARID1A	1
CRUK0052	R1	B2M	1
CRUK0052	R1	CHD8	0.91
CRUK0052	R1	KEAP1	0.93
CRUK0052	R1	KMT2D	1
CRUK0052	R1	KRAS	0.02
CRUK0052	R1	KRAS	0.99
CRUK0052	R1	MGA	0.95
CRUK0052	R1	NF1	1
CRUK0052	R1	NOTCH2	1
CRUK0052	R1	SGK223	1
CRUK0052	R1	TP53	0.85
CRUK0052	R1	UBR5	0.02
CRUK0052	R2	ARID1A	0.82
CRUK0052	R2	ARID1A	1
CRUK0052	R2	B2M	1
CRUK0052	R2	CHD8	1
CRUK0052	R2	KEAP1	1
CRUK0052	R2	KMT2D	1
CRUK0052	R2	KRAS	0.02
CRUK0052	R2	KRAS	1
CRUK0052	R2	MGA	1
CRUK0052	R2	NF1	0.81
CRUK0052	R2	NOTCH2	1
CRUK0052	R2	SGK223	1
CRUK0052	R2	TP53	0.77
CRUK0052	R2	UBR5	0.02
CRUK0052	R3	ARID1A	0.93
CRUK0052	R3	ARID1A	1
CRUK0052	R3	B2M	1
CRUK0052	R3	CHD8	0.94
CRUK0052	R3	KEAP1	1
CRUK0052	R3	KMT2D	1
CRUK0052	R3	KRAS	0.02
CRUK0052	R3	KRAS	1
CRUK0052	R3	MGA	0.95
CRUK0052	R3	NF1	1
CRUK0052	R3	NOTCH2	0.99
CRUK0052	R3	SGK223	1
CRUK0052	R3	TP53	1
CRUK0052	R3	UBR5	0.02
CRUK0052	R4	ARID1A	0.96
CRUK0052	R4	ARID1A	1
CRUK0052	R4	B2M	0.96
CRUK0052	R4	CHD8	1
CRUK0052	R4	KEAP1	1
CRUK0052	R4	KMT2D	1
CRUK0052	R4	KRAS	0.98
CRUK0052	R4	KRAS	1
CRUK0052	R4	MGA	0.94
CRUK0052	R4	NF1	0.74
CRUK0052	R4	NOTCH2	0.95
CRUK0052	R4	SGK223	1
CRUK0052	R4	TP53	1
CRUK0052	R4	UBR5	0.54
CRUK0053	R1	BCLAF1	0.72
CRUK0053	R1	CHEK2	1
CRUK0053	R1	COL5A2	0.95
CRUK0053	R1	COL5A2	1
CRUK0053	R1	FAT1	0.91
CRUK0053	R1	FAT1	0.97
CRUK0053	R1	FAT1	0.99
CRUK0053	R1	FUBP1	0.02
CRUK0053	R1	HCN1	0.02
CRUK0053	R1	PLXNB2	0.71
CRUK0053	R1	RB1	0.89
CRUK0053	R1	RYR2	0.48
CRUK0053	R1	RYR2	0.55
CRUK0053	R1	RYR2	0.59
CRUK0053	R1	RYR2	0.64
CRUK0053	R1	RYR2	0.68
CRUK0053	R1	RYR2	0.84
CRUK0053	R1	RYR2	0.88
CRUK0053	R1	RYR2	0.91
CRUK0053	R1	RYR2	0.99
CRUK0053	R1	RYR2	1
CRUK0053	R1	RYR2	1
CRUK0053	R1	RYR2	1
CRUK0053	R1	TP53	0.02
CRUK0053	R1	WT1	1
CRUK0053	R2	BCLAF1	0.81
CRUK0053	R2	CHEK2	1
CRUK0053	R2	COL5A2	0.79
CRUK0053	R2	COL5A2	0.82
CRUK0053	R2	FAT1	0.97
CRUK0053	R2	FAT1	0.98
CRUK0053	R2	FAT1	1
CRUK0053	R2	FUBP1	0.44
CRUK0053	R2	HCN1	0.02
CRUK0053	R2	PLXNB2	0.02
CRUK0053	R2	RB1	0.87
CRUK0053	R2	RYR2	0.16
CRUK0053	R2	RYR2	0.2
CRUK0053	R2	RYR2	0.24
CRUK0053	R2	RYR2	0.3
CRUK0053	R2	RYR2	0.31
CRUK0053	R2	RYR2	0.77
CRUK0053	R2	RYR2	0.89
CRUK0053	R2	RYR2	0.9
CRUK0053	R2	RYR2	0.94
CRUK0053	R2	RYR2	1
CRUK0053	R2	RYR2	1
CRUK0053	R2	RYR2	1
CRUK0053	R2	TP53	0.02
CRUK0053	R2	WT1	1
CRUK0056	R1	CREBBP	0.8
CRUK0056	R1	CREBBP	1
CRUK0056	R1	FAT1	0.02
CRUK0056	R1	KMT2B	0.02
CRUK0056	R1	RASA1	1
CRUK0056	R1	SMAD4	0.23
CRUK0056	R1	TP53	0.02
CRUK0056	R1	ZFP36L1	0.02
CRUK0056	R1	ZMYM2	1
CRUK0056	R2	CREBBP	0.91
CRUK0056	R2	CREBBP	0.93
CRUK0056	R2	FAT1	0.02
CRUK0056	R2	KMT2B	0.53
CRUK0056	R2	RASA1	1
CRUK0056	R2	SMAD4	0.02
CRUK0056	R2	TP53	0.02
CRUK0056	R2	ZFP36L1	0.02
CRUK0056	R2	ZMYM2	1
CRUK0056	R3	CREBBP	0.97
CRUK0056	R3	CREBBP	1
CRUK0056	R3	FAT1	0.59
CRUK0056	R3	KMT2B	0.02
CRUK0056	R3	RASA1	1
CRUK0056	R3	SMAD4	0.02
CRUK0056	R3	TP53	1
CRUK0056	R3	ZFP36L1	0.91
CRUK0056	R3	ZMYM2	0.89
CRUK0057	R1	ATRX	0.02
CRUK0057	R1	CSMD3	0.85
CRUK0057	R1	CSMD3	0.94
CRUK0057	R1	CSMD3	1
CRUK0057	R1	CSMD3	1
CRUK0057	R1	DNM2	1
CRUK0057	R1	KRAS	1
CRUK0057	R1	SMARCA4	1
CRUK0057	R1	TSC2	1
CRUK0057	R1	WAS	0.02
CRUK0057	R1	ZMYM2	1
CRUK0057	R2	ATRX	0.02
CRUK0057	R2	CSMD3	0.45
CRUK0057	R2	CSMD3	0.95
CRUK0057	R2	CSMD3	1
CRUK0057	R2	CSMD3	1
CRUK0057	R2	DNM2	0.28
CRUK0057	R2	KRAS	0.97
CRUK0057	R2	SMARCA4	1
CRUK0057	R2	TSC2	1
CRUK0057	R2	WAS	0.02
CRUK0057	R2	ZMYM2	1
CRUK0062	R1	ATRX	0.02
CRUK0062	R1	CHD4	0.02
CRUK0062	R1	PLXNB2	0.69
CRUK0062	R1	TP53	1
CRUK0062	R1	UBR5	0.02
CRUK0062	R1	UBR5	0.45
CRUK0062	R2	ATRX	0.02
CRUK0062	R2	CHD4	0.02
CRUK0062	R2	PLXNB2	0.88
CRUK0062	R2	TP53	1
CRUK0062	R2	UBR5	0.02
CRUK0062	R2	UBR5	0.9
CRUK0062	R3	ATRX	0.02
CRUK0062	R3	CHD4	0.02
CRUK0062	R3	PLXNB2	0.02
CRUK0062	R3	TP53	0.99
CRUK0062	R3	UBR5	0.02
CRUK0062	R3	UBR5	0.02
CRUK0062	R4	ATRX	0.02
CRUK0062	R4	CHD4	0.02
CRUK0062	R4	PLXNB2	0.02
CRUK0062	R4	TP53	0.94
CRUK0062	R4	UBR5	0.02
CRUK0062	R4	UBR5	0.02
CRUK0062	R5	ATRX	0.02
CRUK0062	R5	CHD4	0.02
CRUK0062	R5	PLXNB2	0.02
CRUK0062	R5	TP53	1
CRUK0062	R5	UBR5	0.02
CRUK0062	R5	UBR5	0.02
CRUK0062	R6	ATRX	0.02
CRUK0062	R6	CHD4	0.5
CRUK0062	R6	PLXNB2	0.02
CRUK0062	R6	TP53	0.86
CRUK0062	R6	UBR5	0.02
CRUK0062	R6	UBR5	0.02
CRUK0062	R7	ATRX	0.02
CRUK0062	R7	CHD4	0.02
CRUK0062	R7	PLXNB2	0.02
CRUK0062	R7	TP53	0.99
CRUK0062	R7	UBR5	1
CRUK0062	R7	UBR5	1
CRUK0063	R1	CDKN2A	0.02
CRUK0063	R1	CDKN2A	0.02
CRUK0063	R1	CDKN2A	0.02
CRUK0063	R1	CYLD	0.02
CRUK0063	R1	EP300	0.02
CRUK0063	R1	EZH1	0.02
CRUK0063	R1	EZH1	0.02
CRUK0063	R1	EZH1	0.02
CRUK0063	R1	FANCM	0.02
CRUK0063	R1	FANCM	0.02
CRUK0063	R1	FBXW7	0.02
CRUK0063	R1	NF1	0.02
CRUK0063	R1	PIK3CA	0.02
CRUK0063	R1	TP53	0.02
CRUK0063	R3	CDKN2A	0.49
CRUK0063	R3	CDKN2A	0.56
CRUK0063	R3	CDKN2A	0.6
CRUK0063	R3	CYLD	0.02
CRUK0063	R3	EP300	0.02
CRUK0063	R3	EZH1	0.02
CRUK0063	R3	EZH1	0.83
CRUK0063	R3	EZH1	0.9
CRUK0063	R3	FANCM	0.02
CRUK0063	R3	FANCM	0.61
CRUK0063	R3	FBXW7	0.02
CRUK0063	R3	NF1	0.02
CRUK0063	R3	PIK3CA	1
CRUK0063	R3	TP53	1
CRUK0063	R4	CDKN2A	0.37
CRUK0063	R4	CDKN2A	0.49
CRUK0063	R4	CDKN2A	0.8
CRUK0063	R4	CYLD	0.96
CRUK0063	R4	EP300	0.75
CRUK0063	R4	EZH1	0.8
CRUK0063	R4	EZH1	0.8
CRUK0063	R4	EZH1	0.95
CRUK0063	R4	FANCM	0.02
CRUK0063	R4	FANCM	0.97
CRUK0063	R4	FBXW7	0.94
CRUK0063	R4	NF1	1
CRUK0063	R4	PIK3CA	1
CRUK0063	R4	TP53	0.94
CRUK0063	R5	CDKN2A	0.65
CRUK0063	R5	CDKN2A	0.83
CRUK0063	R5	CDKN2A	1
CRUK0063	R5	CYLD	0.91
CRUK0063	R5	EP300	1
CRUK0063	R5	EZH1	0.87
CRUK0063	R5	EZH1	0.88
CRUK0063	R5	EZH1	0.95
CRUK0063	R5	FANCM	0.55
CRUK0063	R5	FANCM	0.95
CRUK0063	R5	FBXW7	0.89
CRUK0063	R5	NF1	1
CRUK0063	R5	PIK3CA	1
CRUK0063	R5	TP53	0.83
CRUK0063	R6	CDKN2A	0.73
CRUK0063	R6	CDKN2A	0.85
CRUK0063	R6	CDKN2A	0.92
CRUK0063	R6	CYLD	1
CRUK0063	R6	EP300	1
CRUK0063	R6	EZH1	0.9
CRUK0063	R6	EZH1	0.95
CRUK0063	R6	EZH1	1
CRUK0063	R6	FANCM	0.16
CRUK0063	R6	FANCM	1
CRUK0063	R6	FBXW7	0.95
CRUK0063	R6	NF1	1
CRUK0063	R6	PIK3CA	1
CRUK0063	R6	TP53	1
CRUK0063	R7	CDKN2A	0.5
CRUK0063	R7	CDKN2A	0.57
CRUK0063	R7	CDKN2A	1
CRUK0063	R7	CYLD	0.85
CRUK0063	R7	EP300	0.99
CRUK0063	R7	EZH1	0.86
CRUK0063	R7	EZH1	0.98
CRUK0063	R7	EZH1	1
CRUK0063	R7	FANCM	0.23
CRUK0063	R7	FANCM	1
CRUK0063	R7	FBXW7	0.9
CRUK0063	R7	NF1	0.91
CRUK0063	R7	PIK3CA	0.95
CRUK0063	R7	TP53	0.87
CRUK0064	R1	FAT1	0.32
